ตัวย่อหุ้น,หัวข้อข่าว,วันที่เขียนข่าว,เนื้อหาข่าว,วิเคราะห์,เหตุผล
WHA,สรุป pp Day : WHA จ่อปิด 2 ดีลใหญ่ ช่วง Q2Q3 นี้ โชว์กลุ่มดาต้าเซ็นเตอร์ต่อคิวกว่า 20 ราย,30/05/2025,ข้อมูลจาก pp Day ระบุว่า WHA กำลังเจรจาปิดดีลลูกค้ารายใหญ่ 2 รายในช่วงไตรมาส 2–3/2568 พร้อมระบุว่ามีกลุ่มลูกค้าดาต้าเซ็นเตอร์ต่อคิวเข้ามาแล้วกว่า 20 ราย ซึ่งช่วยเสริมรายได้จากธุรกิจ Data Center ของ WHA ได้อย่างชัดเจน และ WHA วางแผนขยายพื้นที่โลจิสติกส์เพิ่มเติมเพื่อรองรับความต้องการที่เพิ่มขึ้น,บวก,การมีลูกค้าดาต้าเซ็นเตอร์ต่อคิวรอทำสัญญาถึงกว่า 20 ราย เป็นสัญญาณเชิงบวกว่าธุรกิจ Data Center ของ WHA กำลังได้รับความสนใจสูง อีกทั้งการปิดดีลลูกค้ารายใหญ่จะส่งผลให้รายได้และกำไรขยายตัวชัดเจนในระยะถัดไป (SETTRADE)
WHA,สะกิดต่อมหุ้น อัปเดต ประจำวันที่ 30 พ.ค. 2568: “หุ้นนิคมฯ บวกคึกกับ WHA”,30/05/2025,ในการอัปเดตตลาดหุ้นประจำวัน WHA ปรับตัวขึ้นกว่า 3% ไปแตะระดับสูงสุดที่ 3.34 บาท/หุ้น เนื่องจากนักลงทุนรับข่าวดีจากศาลการค้าสหรัฐฯ ที่เบรกมาตรการภาษี “ทรัมป์” ชั่วคราว ซึ่งจะช่วยให้ต้นทุนการลงทุนในนิคมอุตสาหกรรมของบริษัทที่ส่งออกไปยังสหรัฐฯ อยู่ในระดับต่ำลง อีกทั้งโบรกฯ ยังมองบวกต่อสินทรัพย์เสี่ยงและภาพรวมตลาดหุ้นทั่วโลกที่อาจฟื้นตัวหลังได้ข่าวนี้,บวก,การเปลี่ยนแปลงเชิงบวกในกรอบนโยบายภาษีสหรัฐฯ จะช่วยลดต้นทุนให้กับผู้เช่านิคมอุตสาหกรรมของ WHA ซึ่งสะท้อนออกมาในราคาหุ้นที่ปรับตัวขึ้นอย่างแข็งแกร่ง โดยมีแรงซื้อเข้ามาเก็งกำไรชัดเจน (Stck Fcus News)
WHA,WHA จับตาผลภาษีสหรัฐฯ ชัดเจนในครึ่งปีหลัง ก่อนทบทวนเป้าหมายบริษัทใหม่,02/06/2025,สำนักข่าวรายงานว่า WHA กำลังจับตาการกำหนดอัตราภาษีนำเข้าในสหรัฐฯ ซึ่งคาดว่าจะชัดเจนภายในครึ่งปีหลังของปี 2568 เนื่องจากมีผลต่อความสามารถในการแข่งขันของนิคมอุตสาหกรรมและธุรกิจโลจิสติกส์ โดยในงาน pp Day ยังระบุว่า WHA ปลื้มยอดขายที่ดินเติบโตเกินคาด เตรียมปิดดีล 2 รายใหญ่ในช่วง Q2–Q3 พร้อมคุยลูกค้ากว่า 50 ราย โดยกลุ่ม Data Center ต่อคิวกว่า 20 ราย (eFinanceThai),บวก,การจับตาภาษีนำเข้าชัดเจนจะช่วยให้ WHA สามารถทบทวนเป้าหมายรายได้และกำไรได้แม่นยำขึ้น ขณะเดียวกันยอดขายที่ดินและลูกค้า Data Center ที่ต่อคิวเข้าใช้บริการจำนวนมากเป็นสัญญาณกระแสธุรกิจหลักของบริษัทยังแข็งแกร่ง (eFinanceThai)
WHA,"WHA กำไร Q1/68 ที่ 2,075.47 ลบ. โต 52.06% ขายทรัพย์สินให้ WHART",12/05/2025,"WHA รายงานกำไรสุทธิไตรมาส 1/2568 ที่ 2,075.47 ล้านบาท เติบโต 52.06% จากงวดเดียวกันปีก่อน โดยสาเหตุหลักมาจากการขายทรัพย์สินให้ WHA รีทมูลค่า 808 ล้านบาท รวมถึงรายได้หลักจากธุรกิจนิคมอุตสาหกรรมและโลจิสติกส์ยังเติบโตดี เหตุการณ์นี้ทำให้ราคาหุ้นดีดขึ้นเล็กน้อยหลังประกาศผลกำไรออกมาเหนือความคาดหมายของตลาด (Thunhn)",บวก,กำไรสุทธิที่เติบโตสูงถึง 52.06% ในไตรมาสแรกเป็นสัญญาณว่าผลดำเนินงานของ WHA ฟื้นตัวดีทั้งจากธุรกิจขายทรัพย์สินและธุรกิจนิคมอุตสาหกรรมโลจิสติกส์ ซึ่งช่วยดันงบกำไรออกมาดีกว่าตลาดประเมิน (Thunhn)
WHA,หุ้นนิคมฯ ไตรมาส 2/68 ยอดขายแข็งแกร่ง ด้านภาษีทรัมป์คาดต่ำกว่า 36% หลังรัฐฯ เข้าเจรจา,02/06/2025,บทวิเคราะห์จาก สำนักข่าวบางกอกบิสเนส รายงานว่าในไตรมาส 2/2568 ยอดขายนิคมอุตสาหกรรมโดยรวมแข็งแกร่ง และมีการประเมินว่าอัตราภาษีนำเข้าที่เกี่ยวข้องกับสินค้าในนิคมจะไม่เกิน 36% หลังภาครัฐไทยได้เข้าร่วมเจรจากับสหรัฐฯ เพื่อขอผ่อนปรนอัตราภาษี ซึ่งจะช่วยลดต้นทุนให้กับผู้เช่าพื้นที่นิคมและสร้างเม็ดเงินการลงทุนใหม่ ๆ เพิ่มขึ้น (bangkkbiznews),บวก,การเข้าร่วมเจรจาผ่อนปรนภาษีช่วยลดต้นทุนตลอดห่วงโซ่อุปทานให้กับผู้เช่านิคมอุตสาหกรรม WHA ได้โดยตรง ซึ่งจะกระตุ้นเม็ดเงินลงทุนใหม่และยิ่งสะท้อนภาพรวมธุรกิจนิคมฯ ของบริษัทมีแนวโน้มเติบโตต่อเนื่อง (bangkkbiznews)
WHAUP,WHAUP คาดเติบโตแข็งแกร่ง,22/05/2025,รายงานจาก Gapfcus บอกว่า WHAUP คาดผลประกอบการในปี 2568 จะเติบโตแข็งแกร่ง จากแนวโน้มธุรกิจน้ำไฟฟ้าที่ได้รับอานิสงส์ลูกค้าใหม่ในภาคอุตสาหกรรม โดยเฉพาะกลุ่มลูกค้านิคมอุตสาหกรรมและโรงไฟฟ้า พร้อมทั้งบริษัทยังเตรียมนำนวัตกรรม AI มาช่วยเพิ่มประสิทธิภาพการบริหารจัดการน้ำและไฟฟ้า ส่วนภาพรวมของพอร์ตโฟลิโอธุรกิจ Utilities & Pwer ยังคงได้รับการสนับสนุนจากแผนลงทุนขยายกำลังการผลิตไฟฟ้าเพิ่มขึ้น,บวก,การที่ผู้บริหารคาดว่าธุรกิจน้ำไฟฟ้าในปีนี้จะเติบโตแข็งแกร่ง พร้อมมีการนำ AI เข้ามาเสริมประสิทธิภาพ แสดงให้เห็นว่า WHAUP มีแผนพัฒนาต่อเนื่องและมีโอกาสขยายรายได้จากฐานลูกค้าเดิมและกลุ่มลูกค้าใหม่ที่ชัดเจน (stck.gapfcus.cm)
WHAUP,WHAUP ส่งสัญญาณครึ่งปีหลังฟื้น รับอานิสงส์ลูกค้าใหม่ทั้งน้ำอุตสาหกรรมและไฟฟ้าโซล่าร์,21/05/2025,จากรายงาน Share2Trade และข่าวหุ้น ระบุว่า WHAUP ได้ออกมา “ส่งสัญญาณ” ว่าผลงานครึ่งปีหลังปี 2568 จะฟื้นตัวดีขึ้น เนื่องจากมีลูกค้าใหม่เข้ามาใช้บริการทั้งในส่วนธุรกิจน้ำอุตสาหกรรมและธุรกิจไฟฟ้าโซลาร์เซลล์ (Slar Rftp) ซึ่งคาดว่าจะช่วยหนุนรายได้และกำไรให้เติบโตต่อเนื่อง ภายหลังกำไร Q1/68 ลดลงจากช่วงเดียวกันปีก่อน แต่บริษัทรักษามาตรการลดต้นทุนได้ดี,กลาง,"แม้ว่าผลกำไร Q1/68 จะลดลงถึง 52.4% แต่การที่ WHAUP สามารถหาลูกค้าใหม่ได้ ทั้งกลุ่มอุตสาหกรรมและโซล่าร์ รวมถึงแผนลดต้นทุน ทำให้ภาพรวมมีโอกาสฟื้นตัว แต่ยังต้องติดตามผลลัพธ์ว่าจริงจังเพียงใด (Ai, stck.gapfcus.cm)"
WHAUP,"โกลเบล็ก ชูหุ้นเด่นรอคิวเข้า SET100: AURA, MBK, TA, WHAUP มองทองคำยังผันผวน",20/05/2025,รายงานจาก Infquest ชี้ว่า โกลเบล็กฯ ได้นำ WHAUP ขึ้นเป็นหนึ่งในหุ้นเด่นรอคิวเข้า SET100 ร่วมกับหุ้นกลุ่มพลังงานและสาธารณูปโภคอื่น ๆ โดยให้เหตุผลว่าธุรกิจน้ำไฟที่เข้มแข็ง โครงการ Renewable Energy ใหม่ ๆ และคุณภาพงบการเงินที่แข็งแรง ทำให้ WHAUP มีโอกาสได้รับความสนใจจากกองทุนและนักลงทุนสถาบันมากขึ้น,บวก,การที่โกลเบล็กฯ จัด WHAUP เป็นหุ้นเด่นรอคิวเข้า SET100 สะท้อนความเชื่อมั่นในศักยภาพการเติบโตระยะกลางยาวของธุรกิจ Utilities & Pwer ของบริษัทร่วมกับแนวโน้มการลงทุนด้านพลังงานทดแทนที่ยังสดใส (stck.gapfcus.cm)
WHAUP,WHAUP ปิดดีลขายหุ้นกู้ 3.5 พันลบ. เดินหน้าโครงการ Renewable,15/05/2025,"รายงานจาก ทันหุ้น ระบุว่า WHAUP ประสบความสำเร็จในการเสนอขายหุ้นกู้มูลค่ารวม 3,500 ล้านบาท โดยในสัดส่วนดังกล่าวเป็นหุ้นกู้เพื่อโครงการ ESG (Green Bnd) มูลค่า 800 ล้านบาท ซึ่งเงินที่ได้จะนำไปใช้ชำระคืนหนี้เดิมและลงทุนในโครงการ Renewable Energy เช่น โซลาร์ฟาร์ม เพื่อเสริมศักยภาพการเติบโตอย่างยั่งยืน",บวก,การระดมทุนผ่านหุ้นกู้เพื่อโครงการ ESG เป็นสัญญาณบวกว่าผู้ลงทุนสถาบันให้ความเชื่อมั่นในกลยุทธ์ด้านพลังงานสะอาดของ WHAUP ซึ่งจะช่วยลดต้นทุนพลังงานในระยะยาวและขยายขีดความสามารถด้านทรัพยากรน้ำไฟอย่างยั่งยืน (Thunhn)
WHAUP,WHAUP กำไรปกติ Q1/68 ที่ 228 ลบ. ธุรกิจ Slar โตลุย AI เสริมแกร่ง,09/05/2025,WHAUP รายงานกำไรปกติในไตรมาส 1/2568 ที่ 228 ล้านบาท (เทียบกับ 224 ล้านบาท รายงานก่อนหน้า) โดยมีกำไรจากธุรกิจ Slar เติบโตโดดเด่น 45% YY ส่วนธุรกิจน้ำยังทรงตัวดี ทั้งนี้ผู้บริหารแจ้งว่าเตรียมนำ AI เข้ามาเสริมประสิทธิภาพการบริหารจัดการน้ำและไฟฟ้า ขณะที่โครงการ Renewable ใหม่ ๆ ยังอยู่ระหว่างดำเนินการ,บวก,ปัจจัยหนุนจากธุรกิจ Slar ที่เติบโต 45% YY เป็นสัญญาณว่าบริษัทสามารถขยายรายได้จากพลังงานสะอาดได้ตามคาด อีกทั้งการนำนวัตกรรม AI มาใช้ยิ่งช่วยยกระดับประสิทธิภาพในระยะถัดไป (Ai)
